"1","2012001","GURU"
"2","2013001","PEGAWAI PADA LABORATORIUM MAKANAN HALAL"
"3","2014001","PEGAWAI PENSTATA NIKAH"
"4","3001001","CPNS"
"5","4001001","LAYANAN BIMBINGAN ADMINISTRASI"
"8","4001004","KASUBSI PEREK & PRODUKSI"
"14","4002001","GURU DEWASA TK I"
"16","4004001","KEPALA UPTD TK DAN SD KECAMATAN MAJALAYA"
"17","4004002","AHLI JARINGAN KOMPUTER"
"18","4004003","AHLI PETERNAKAN"
"19","4005001","pengolah/penganalisis tahbang"
"20","4007001","ANDALAN SIARAN"
"21","4009001","ARSITEK"
"22","4010001","ASISTEN AKUNTAN"
"23","4010002","ASISTEN NAUTIKA"
"24","4010003","ASISTEN OPERATOR"
"25","4010004","ASISTEN PRAMU DATA"
"26","4010005","Petugas Penyuluh Perindutrian"
"27","4010006","ASISTEN SURVEYOR GPS"
"28","4010007","GURU MUDA TK I"
"29","4010008","ASISTEN SURVEYOR PENELITIAN"
"30","4010009","ASISTEN TEKNISI LABORATORIUM"
"31","4010010","JAFUNGDA"
"32","4010011","ASISTEN DOSEN PRAKTIKUM"
"33","4012001","BENDAHARAWAN BARANG"
"34","4012002","BENDAHARAWAN BIAYA PERKARA"
"35","4012003","BENDAHARAWAN DIKS"
"36","4012004","BENDAHARAWAN GAJI"
"37","4012005","BENDAHARAWAN KHUSUS PENERIMAAN"
"38","4012006","BENDAHARAWAN PENTOR SOR"
"39","4012007","BENDAHARAWAN PROYEK"
"40","4012008","PELAKSANA"
"41","4012009","BENDAHARAWAN PUMC SMU NEGERI"
"42","4012010","BENDAHARAWAN PUMC SWASTA"
"43","4012011","BENDAHARAWAN PUMC TK/SD"
"44","4012012","BENDAHARAWAN RUTIN"
"45","4012013","BENDAHARAWAN SD"
"46","4012014","BENDAHARAWAN SOR"
"47","4012015","BENDAHARAWAN"
"48","4013001","CARAKA"
"49","4014001","CONSELOR PENASEHAT BANTUAN HUKUM"
"50","4014002","CONSELOR PENASEHAT BIBINGAN MASYARAKAT"
"51","4014003","CONSELOR PENASEHAT GIZI"
"52","4014004","CONSELOR PENASEHAT JASA KONSTRUKSI"
"53","4014005","CONSELOR PENASEHAT KEARSIPAN DAN DOKUMENTASI"
"54","4014006","CONSELOR PENASEHAT KEROHANIAN"
"55","4014007","GURU KELAS/GURU MUDA"
"56","4014008","CONSELOR PENASEHAT KOPERASI"
"57","4014009","CONSELOR PENASEHAT PEMANFAATAN SARANA DAN PRASARANA PENGAIRAN"
"58","4014010","CONSELOR PENASEHAT PENGAMANAN DAN PENANGGULANGAN"
"59","4014011","CONSELOR PENASEHAT PERATURAN DAN PERUNDANG-UNDANGAN"
"60","4014012","CONSELOR PENASEHAT PERPUSTAKAAN"
"61","4014013","CONSELOR PENASEHAT PERUMAHAN DAN PRASARANA LINGKUNGAN"
"62","4014014","CONSELOR PENASEHAT PETUGASAN PEMBANGUNAN KOTA DAN DESA"
"63","4014015","CONSELOR PENASEHAT SWADAYA MASYARAKAT"
"64","4014016","CONSELOR PENASEHAT TRANTIB"
"65","4014017","KONSELOR REMAJA"
"66","4015001","CREW CHEKING"
"67","4015002","CREW RESCUE BOAT"
"68","4016001","DESAIN FUMIGATOR"
"69","4016002","DESAIN PAMERAN"
"70","4016003","DESAINER"
"71","4016004","DESAIN KOMPUTER"
"72","4017001","DIPLOMAT"
"73","4018001","EDITOR"
"74","4018002","EDITOR AUDIO VISUAL DAN BERITA"
"75","4018003","EDITOR RISALAH"
"76","4020001","EKSPEDITUR"
"77","4021001","ENUMERATOR"
"78","4022001","EVALUATOR"
"79","4022002","EVALUATOR REAKTOR DAYA"
"80","4022003","EVALUATOR REAKTOR NON DAYA"
"81","4023001","HAKIM"
"82","4024001","IKATAN DINAS AIM (DEP. HUKUM DAN HAM)"
"83","4024002","IKATAN DINAS AKIP (DEP. HUKUM DAN HAM)"
"84","4024003","IKATAN DINAS PRAJA STPDN"
"85","4024004","IKATAN DINAS STIS (BPS)"
"86","4024005","IKATAN DINAS STSN (LSN)"
"87","4025001","INSPEKTUR KETENAGALISTRIKAN"
"88","4025002","INSPEKTUR MINYAK DAN GAS BUMI"
"89","4025003","INSPEKTUR TAMBANG"
"90","4026001","INSTRUKTUR"
"91","4026002","INSTRUKTUR BAHASA/TATA NIAGA"
"92","4026003","INSTRUKTUR BANGUNAN"
"93","4026004","INSTRUKTUR LATIHAN KERJA"
"94","4026005","INSTRUKTUR LISTRIK"
"95","4026006","INSTRUKTUR LOGAM"
"96","4026007","INSTRUKTUR OTOMOTIF"
"97","4026008","INSTRUKTUR PENERBANGAN"
"98","4026009","INSTRUKTUR PERTANIAN"
"99","4026010","INSTRUKTUR TEKNOLOGI INFORMATIKA"
"100","4026011","INSTRUKTUR PRAKTIKUM, DOKUMENTASI, PENGOLAH DATA KEUANGAN DAN PROGRAMMER"
"101","4026012","INSTRUKTUR PRAKTIKUM MANAJEMEN TATA HIDANGAN"
"102","4026013","INSTRUKTUR PRAKTIKUM MANAJEMEN USAHA KEPARIWISATAAN"
"103","4026014","INSTRUKTUR PRAKTIKUM TATA BOGA"
"105","4028001","JAGAWANA"
"106","4029001","JAKSA"
"107","4030001","JURNALIS"
"108","4031001","JURU BAYAR"
"109","4031002","JURU FOTO"
"110","4031003","JURU GAMBAR"
"111","4031004","JURU INFORMASI DAN KOMUNIKASI"
"112","4031005","JURU KAMERA / KAMERAMEN"
"113","4031006","JURU KETIK"
"114","4031007","JURU MASAK"
"115","4031008","JURU MASAK DAN PENYIAP BAHAN MAKANAN"
"116","4031009","JURU PENERANG"
"117","4031010","JURU SITA"
"118","4031011","JURU TAMAN, KEBUN OBAT"
"119","4031012","JURU UKUR"
