"1","11","I/a","Juru Muda",NULL,"T"
"2","12","I/b","Juru Muda Tingkat I",NULL,"T"
"3","13","I/c","Juru",NULL,"T"
"4","14","I/d","Juru Tingkat I",NULL,"T"
"5","21","II/a","Pengatur Muda",NULL,"T"
"6","22","II/b","Pengatur Muda Tingkat I",NULL,"T"
"7","23","II/c","Pengatur",NULL,"T"
"8","24","II/d","Pengatur Tingkat I",NULL,"T"
"9","31","III/a","Penata Muda",NULL,"T"
"10","32","III/b","Penata Muda Tingkat I",NULL,"T"
"11","33","III/c","Penata",NULL,"T"
"12","34","III/d","Penata Tingkat I",NULL,"T"
"13","41","IV/a","Pembina",NULL,"T"
"14","42","IV/b","Pembina Tingkat I",NULL,"T"
"15","43","IV/c","Pembina Utama Muda",NULL,"T"
"16","44","IV/d","Pembina Utama Madya",NULL,"T"
"17","45","IV/e","Pembina Utama",NULL,"T"
