"1","5258","1","Pelaksana","SUB BIDANG DIKLAT DAN PENGEMBANGAN KOMPETENSI APARATUR","2014-04-12","8472639417","2013-04-05","Walikota","86","0",,NULL,NULL
"2","541","0","STAFF AHLI BIDANG PEMERINTAHAN","SETDDAKO HRIS","2012-03-29","111","2012-03-29","Walikota HRIS","0","5","2",NULL,NULL
"3","541","246","KEPALA BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN DAERAH  ","BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN DAERAH","2013-02-07","111","2013-02-07","WALIKOTA HRIS","75","5","2",NULL,NULL
"4","5260","1","Pelaksana","BIDANG PEMBINAAN PENDIDIK DAN TENAGA KEPENDIDIKAN","2009-12-24","5869756586","2009-12-20","Walikota","402","0",,NULL,NULL
"5","5261","0","KEPALA KANTOR PELAYANAN PERIZINAN TERPADU","KANTOR PELAYANAN PERIZINAN TERPADU","2004-04-29","-","2004-04-29","Walikota","0","7","2",NULL,NULL
"6","5261","0","KEPALA BIDANG SARANA DAN PRASARANA",,"2008-04-01","01-04-2008","1970-01-01","Walikota","0","7","2",NULL,NULL
"7","5261","556","KEPALA DINAS PENDIDIKAN","DINAS PENDIDIKAN","2012-02-12","-","2012-02-12","Walikota","385","5","2",NULL,NULL
"8","5261","172","KEPALA STAF AHLI WALIKOTA BIDANG  PEMERINTAHAN PEMBANGUNAN & KEMASYARAKATAN ","STAF AHLI WALIKOTA BIDANG  PEMERINTAHAN PEMBANGUNAN & KEMASYARAKATAN ","2012-03-29","-","2012-03-29","Walikota","1","5","2",NULL,NULL
"9","5261","665","KEPALA BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN DAERAH","BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN DAERAH","2016-12-30","-","2013-02-07","Walikota","75","4","2",NULL,NULL
"10","5262","1","Pelaksana","BIDANG PEMBINAAN SEKOLAH DASAR","2009-04-01","-","2009-04-01","Walikota","394","0",,NULL,NULL
"23","5264","676","KEPALA SUB BIDANG DIKLAT DAN PENGEMBANGAN KOMPETENSI APARATUR","SUB BIDANG DIKLAT DAN PENGEMBANGAN KOMPETENSI APARATUR","2017-01-01","111","2017-01-01","WALIKOTA HRIS","86","7","2",NULL,NULL
"22","5264","0","KASI PEMERINTAHAN","KELURAHAN SUNGAI TIUNG","2012-03-29","821/093-BANG.PEG/BKD&DIKLAT","2012-03-28","WALIKOTA HRIS","0","9","2",NULL,NULL
"24","5265","0","Kasubsi Ketentraman dan Ketertiban","Kantor Camat Astambul","1995-03-01","821.3/334/PEG","1995-03-01","Bupati KDH Tk. II Banjar","0","10","2",NULL,NULL
"25","5265","66","Analis Kepegawaian","BADAN KEPEGAWAIAN, PENDIDIKAN DAN PELATIHAN DAERAH","2010-08-09","825/165-Bang,Peg/Bapegdiklatda","2010-08-09","Walikota HRIS","75","0","3",NULL,NULL
"26","5266","0","Programmer","BKD & Diklat","2013-04-01","800/760-Set/BKD&Diklat","2013-04-01","Kepala BKD & Diklat","0","0","4","uploads/naskah/tblriwayatjabatan_198412152008031001_MUHAMMADSYAHRIFADHLI","JAB PROGRAMMER 2013.pdf"
"27","5266","672","KEPALA SUB BIDANG INFORMASI DAN FASILITASI ASN","SUB BIDANG INFORMASI DAN FASILITASI ASN","2016-12-30","821/367/BKD&DIKLAT","2016-12-21","Walikota HRIS","82","7","2","uploads/naskah/tblriwayatjabatan_198412152008031001_MUHAMMADSYAHRIFADHLI","JAB KASUBBID INFAS.pdf"
"28","5267","169","Teknis / Administrasi Lainnya","SUB BAGIAN UMUM DAN KEPEGAWAIAN","2017-01-01","AA","2017-01-01","WW","453",NULL,"4",NULL,NULL
